DATE,CEU3200000008_PCH
1950-01-01,10.28037
1951-01-01,6.77966
1952-01-01,3.96825
1953-01-01,5.34351
1954-01-01,2.17391
1955-01-01,4.96454
1956-01-01,8.10811
1957-01-01,3.12500
1958-01-01,4.24242
1959-01-01,4.06977
1960-01-01,3.91061
1961-01-01,3.22581
1962-01-01,2.08333
1963-01-01,4.08163
1964-01-01,2.45098
1965-01-01,3.82775
1966-01-01,4.60829
1967-01-01,6.16740
1968-01-01,7.46888
1969-01-01,6.56371
1970-01-01,6.88406
1971-01-01,6.44068
1972-01-01,7.00637
1973-01-01,6.84524
1974-01-01,11.42061
1975-01-01,7.00000
1976-01-01,9.57944
1977-01-01,8.10235
1978-01-01,8.87574
1979-01-01,9.42029
1980-01-01,10.09934
1981-01-01,8.42105
1982-01-01,7.07351
1983-01-01,3.75648
1984-01-01,3.99501
1985-01-01,3.72149
1986-01-01,2.31481
1987-01-01,2.71493
1988-01-01,3.19383
1989-01-01,3.52188
1990-01-01,3.71134
1991-01-01,2.98211
1992-01-01,2.31660
1993-01-01,2.54717
1994-01-01,2.29991
1995-01-01,3.86691
1996-01-01,3.37662
1997-01-01,2.84757
1998-01-01,3.01303
1999-01-01,3.79447
2000-01-01,3.42727
2001-01-01,3.16642
2002-01-01,3.28337
2003-01-01,2.83345
2004-01-01,2.28495
2005-01-01,0.78844
2006-01-01,0.91265
2007-01-01,2.71318
2008-01-01,3.33333
2009-01-01,1.52161
2010-01-01,1.25899
2011-01-01,1.71699
2012-01-01,1.04773
2013-01-01,1.95853
2014-01-01,1.12994
2015-01-01,2.84916
2016-01-01,3.31342
2017-01-01,3.25973
2018-01-01,3.20774
2019-01-01,2.96004
